"";"compartment_ibm";"value"
"1435";"E1_4_107";5
"1436";"E1_4_108";1
"1437";"E1_4_109";1
"1439";"E1_4_110";1
"1440";"E1_4_111";10
"1441";"E1_4_112";7
"1442";"E1_4_113";1
"1443";"E1_4_114";1
"1444";"E1_4_115";1
"1445";"E1_4_116";5
"1446";"E1_4_117";8
"1447";"E1_4_118";1
"1448";"E1_4_119";1
"1449";"E1_4_12";4
"1450";"E1_4_120";16
"1451";"E1_4_121";1
"1452";"E1_4_122";1
"1453";"E1_4_123";2
"1455";"E1_4_125";1
"1460";"E1_4_13";1
"1466";"E1_4_135";1
"1467";"E1_4_136";3
"1471";"E1_4_14";1
"1473";"E1_4_141";1
"1476";"E1_4_144";1
"1477";"E1_4_145";6
"1482";"E1_4_15";1
"1483";"E1_4_150";1
"1493";"E1_4_16";1
"1512";"E1_4_177";4
"1513";"E1_4_178";5
"1523";"E1_4_187";1
"1524";"E1_4_188";1
"1527";"E1_4_190";2
"1528";"E1_4_191";2
"1529";"E1_4_192";3
"1530";"E1_4_193";1
"1531";"E1_4_194";2
"1533";"E1_4_196";3
"1537";"E1_4_2";23
"1540";"E1_4_201";2
"1549";"E1_4_21";1
"1553";"E1_4_213";1
"1554";"E1_4_214";1
"1574";"E1_4_232";1
"1578";"E1_4_236";3
"1579";"E1_4_237";1
"1582";"E1_4_24";1
"1593";"E1_4_25";1
"1595";"E1_4_251";1
"1625";"E1_4_279";17
"1635";"E1_4_288";3
"1636";"E1_4_289";6
"1638";"E1_4_290";1
"1639";"E1_4_291";1
"1643";"E1_4_295";1
"1648";"E1_4_3";1
"1660";"E1_4_31";1
"1665";"E1_4_314";4
"1668";"E1_4_317";1
"1713";"E1_4_38";1
"1715";"E1_4_4";12
"1727";"E1_4_50";1
"1752";"E1_4_73";2
"1759";"E1_4_8";3
"1763";"E1_4_83";1
"1773";"E1_4_92";1
"1774";"E1_4_93";1
"1775";"E1_4_94";3
"1776";"E1_4_95";6
"1777";"E1_4_96";1
"1781";"E1_5_0";78
"1783";"E1_5_10";2
"1789";"E1_5_105";1
"1790";"E1_5_106";1
"1791";"E1_5_107";4
"1792";"E1_5_108";1
"1795";"E1_5_110";1
"1796";"E1_5_111";9
"1797";"E1_5_112";6
"1801";"E1_5_116";4
"1802";"E1_5_117";6
"1803";"E1_5_118";1
"1804";"E1_5_119";1
"1805";"E1_5_12";4
"1806";"E1_5_120";14
"1807";"E1_5_121";1
"1808";"E1_5_122";1
"1809";"E1_5_123";3
"1816";"E1_5_13";1
"1823";"E1_5_136";2
"1827";"E1_5_14";2
"1831";"E1_5_143";1
"1832";"E1_5_144";1
"1833";"E1_5_145";6
"1834";"E1_5_146";1
"1849";"E1_5_16";2
"1863";"E1_5_172";1
"1868";"E1_5_177";3
"1869";"E1_5_178";4
"1880";"E1_5_188";1
"1883";"E1_5_190";1
"1884";"E1_5_191";2
"1885";"E1_5_192";2
"1886";"E1_5_193";1
"1887";"E1_5_194";1
"1889";"E1_5_196";3
"1892";"E1_5_199";1
"1893";"E1_5_2";20
"1896";"E1_5_201";2
"1905";"E1_5_21";1
"1908";"E1_5_212";1
"1910";"E1_5_214";1
"1934";"E1_5_236";3
"1943";"E1_5_244";1
"1944";"E1_5_245";1
"1979";"E1_5_277";1
"1981";"E1_5_279";15
"1983";"E1_5_280";1
"1991";"E1_5_288";2
"1992";"E1_5_289";5
"1994";"E1_5_290";1
"1995";"E1_5_291";1
"1999";"E1_5_295";1
"2001";"E1_5_297";1
"2004";"E1_5_3";1
"2021";"E1_5_314";3
"2024";"E1_5_317";1
"2026";"E1_5_319";1
"2071";"E1_5_4";10
"2108";"E1_5_73";2
"2115";"E1_5_8";3
"2119";"E1_5_83";1
"2130";"E1_5_93";1
"2131";"E1_5_94";3
"2132";"E1_5_95";5
"2133";"E1_5_96";1
"2134";"E1_5_97";1
"2135";"E1_5_98";1
"2137";"E1_6_0";79
"2139";"E1_6_10";2
"2145";"E1_6_105";1
