county	compartment	value
municip4216	relative_reproduction_number	0.894346261689752
municip1114	relative_reproduction_number	0.886529654877234
municip4624	relative_reproduction_number	0.843748408044263
municip1804	relative_reproduction_number	0.898591894008168
municip1145	relative_reproduction_number	0.899327002130128
municip4648	relative_reproduction_number	0.775119144365845
municip1813	relative_reproduction_number	0.860949885909599
municip4220	relative_reproduction_number	0.883687068679641
municip4222	relative_reproduction_number	0.919233333237408
municip1867	relative_reproduction_number	0.867628908391845
municip4613	relative_reproduction_number	0.699992949313011
municip5443	relative_reproduction_number	0.87500864262514
municip3431	relative_reproduction_number	0.967911807582353
municip3815	relative_reproduction_number	0.892071874718838
municip5420	relative_reproduction_number	0.832444358940243
municip1827	relative_reproduction_number	0.924854707922006
municip4619	relative_reproduction_number	0.85748441598852
municip3416	relative_reproduction_number	0.972576790150449
municip1101	relative_reproduction_number	0.881026983356964
municip3420	relative_reproduction_number	0.948198022824604
municip3028	relative_reproduction_number	1.06056047608299
municip3425	relative_reproduction_number	0.958850816170533
municip4611	relative_reproduction_number	0.958727509166432
municip3450	relative_reproduction_number	0.855832365076281
municip1853	relative_reproduction_number	0.793250002592229
municip4219	relative_reproduction_number	0.892904676005525
municip4206	relative_reproduction_number	0.979989004130567
municip1841	relative_reproduction_number	0.837353777696511
municip4633	relative_reproduction_number	0.923682534465378
municip4615	relative_reproduction_number	0.93328526146933
municip4646	relative_reproduction_number	0.665788424865812
municip1578	relative_reproduction_number	0.986659095361566
municip1859	relative_reproduction_number	0.925764207190153
municip5049	relative_reproduction_number	0.891438223288239
municip4207	relative_reproduction_number	0.500653503159531
municip3050	relative_reproduction_number	0.947467389978474
municip3039	relative_reproduction_number	0.933559835442952
municip3429	relative_reproduction_number	0.803510255530765
municip3022	relative_reproduction_number	0.99236835395077
municip4214	relative_reproduction_number	0.819222740580198
municip5036	relative_reproduction_number	0.965638729156177
municip5014	relative_reproduction_number	0.85452514854827
municip3823	relative_reproduction_number	0.856951612357316
municip5439	relative_reproduction_number	0.829114691905902
municip3441	relative_reproduction_number	0.870049893406937
municip1838	relative_reproduction_number	0.694107090887851
municip1532	relative_reproduction_number	0.776581929883087
municip1557	relative_reproduction_number	0.82358378046631
municip3032	relative_reproduction_number	1.03855296384747
municip4211	relative_reproduction_number	0.885487461661714
municip1122	relative_reproduction_number	0.893816322451701
municip3407	relative_reproduction_number	0.92718050406228
municip4650	relative_reproduction_number	0.804701769980435
municip3041	relative_reproduction_number	0.977441490737039
municip3446	relative_reproduction_number	0.900263867368302
municip1825	relative_reproduction_number	0.868257157397081
municip5414	relative_reproduction_number	0.891027729345914
municip4202	relative_reproduction_number	0.710461844111224
municip5045	relative_reproduction_number	0.957590065858974
municip3417	relative_reproduction_number	0.945730354273632
municip4635	relative_reproduction_number	0.892814033323451
municip1866	relative_reproduction_number	0.831204105635882
municip1875	relative_reproduction_number	0.932842619520482
municip5406	relative_reproduction_number	0.868314233169946
municip1517	relative_reproduction_number	0.808387095346696
municip5402	relative_reproduction_number	0.889166273668439
municip5433	relative_reproduction_number	0.923958710390352
municip1826	relative_reproduction_number	0.747914660186181
