bydel,grunnkrets,east_west
ward030104,grunnkrets03011402,west
ward030104,grunnkrets03011403,west
ward030104,grunnkrets03011101,west
ward030104,grunnkrets03011102,west
ward030104,grunnkrets03011103,west
ward030104,grunnkrets03011104,west
ward030104,grunnkrets03011105,west
ward030104,grunnkrets03011106,west
ward030104,grunnkrets03011001,west
ward030104,grunnkrets03011209,west
ward030104,grunnkrets03011501,west
ward030104,grunnkrets03011502,west
ward030104,grunnkrets03011503,west
ward030104,grunnkrets03011504,west
ward030105,grunnkrets03015601,west
ward030105,grunnkrets03015602,west
ward030105,grunnkrets03015603,west
ward030105,grunnkrets03010601,west
ward030105,grunnkrets03010602,west
ward030105,grunnkrets03010603,west
ward030105,grunnkrets03010604,west
ward030105,grunnkrets03010605,west
ward030105,grunnkrets03010606,west
ward030105,grunnkrets03010609,west
ward030105,grunnkrets03010607,west
ward030105,grunnkrets03010608,west
ward030105,grunnkrets03010610,west
ward030105,grunnkrets03010611,west
ward030105,grunnkrets03010612,west
ward030105,grunnkrets03010613,west
ward030105,grunnkrets03010614,west
ward030105,grunnkrets03010908,west
ward030105,grunnkrets03010909,west
ward030105,grunnkrets03010910,west
ward030105,grunnkrets03010911,west
ward030105,grunnkrets03010901,west
ward030105,grunnkrets03010902,west
ward030105,grunnkrets03010903,west
ward030105,grunnkrets03010904,west
ward030105,grunnkrets03010905,west
ward030105,grunnkrets03010906,west
ward030105,grunnkrets03010907,west
ward030105,grunnkrets03010912,west
ward030105,grunnkrets03010913,west
ward030105,grunnkrets03010308,west
ward030105,grunnkrets03010801,west
ward030105,grunnkrets03010802,west
ward030105,grunnkrets03010803,west
ward030105,grunnkrets03010804,west
ward030105,grunnkrets03010805,west
ward030105,grunnkrets03010806,west
ward030105,grunnkrets03010807,west
ward030105,grunnkrets03010808,west
ward030105,grunnkrets03010809,west
ward030105,grunnkrets03010503,west
ward030105,grunnkrets03010701,west
ward030105,grunnkrets03010702,west
ward030105,grunnkrets03010703,west
ward030105,grunnkrets03010704,west
ward030105,grunnkrets03010705,west
ward030105,grunnkrets03010706,west
ward030105,grunnkrets03010707,west
ward030105,grunnkrets03010708,west
ward030105,grunnkrets03010709,west
ward030105,grunnkrets03010710,west
ward030105,grunnkrets03010301,west
ward030105,grunnkrets03010302,west
ward030105,grunnkrets03010303,west
ward030105,grunnkrets03010304,west
ward030105,grunnkrets03010401,west
ward030105,grunnkrets03010501,west
ward030105,grunnkrets03010502,west
ward030105,grunnkrets03010504,west
ward030106,grunnkrets03015206,west
ward030106,grunnkrets03015207,west
ward030106,grunnkrets03015208,west
ward030106,grunnkrets03015210,west
ward030106,grunnkrets03015301,west
ward030106,grunnkrets03015302,west
ward030106,grunnkrets03015303,west
ward030106,grunnkrets03015405,west
ward030106,grunnkrets03015401,west
ward030106,grunnkrets03015402,west
ward030106,grunnkrets03015403,west
ward030106,grunnkrets03015406,west
ward030106,grunnkrets03014803,west
ward030106,grunnkrets03014804,west
ward030106,grunnkrets03014805,west
ward030106,grunnkrets03014806,west
ward030106,grunnkrets03015407,west
ward030106,grunnkrets03015408,west
ward030106,grunnkrets03014703,west
ward030106,grunnkrets03014706,west
