beta	R0
0.195972904967323	0.74
0.196294011353261	0.74
0.196717063186251	0.74
0.197205780128972	0.74
0.197372682315334	0.74
0.197389527987535	0.75
0.197511108521913	0.75
0.19767635357334	0.75
0.19808559582766	0.75
0.198229679372187	0.75
0.19914953072923	0.75
0.199470637115168	0.75
0.199893688948158	0.75
0.200382405890879	0.75
0.200549308077241	0.75
0.200566153749442	0.76
0.20068773428382	0.76
0.200852979335247	0.76
0.201262221589567	0.76
0.201406305134094	0.76
0.202326156491137	0.76
0.202647262877074	0.76
0.203070314710065	0.76
0.203559031652785	0.76
0.203725933839148	0.76
0.203742779511349	0.77
0.203864360045727	0.77
0.204029605097154	0.77
0.204438847351474	0.77
0.204582930896001	0.77
0.205502782253044	0.77
0.205823888638981	0.77
0.206246940471972	0.77
0.206735657414692	0.77
0.206902559601055	0.77
0.206919405273256	0.78
0.207040985807633	0.78
0.207206230859061	0.78
0.207615473113381	0.78
0.207759556657908	0.78
0.208679408014951	0.78
0.209000514400888	0.78
0.209423566233879	0.78
0.209912283176599	0.78
0.210079185362962	0.78
0.210096031035163	0.79
0.21021761156954	0.79
0.210382856620968	0.79
0.210792098875288	0.79
0.210936182419814	0.79
0.211856033776858	0.79
0.212177140162795	0.79
0.212600191995786	0.79
0.213088908938506	0.79
0.213255811124869	0.79
0.21327265679707	0.8
0.213394237331447	0.8
0.213559482382875	0.8
0.213968724637195	0.8
0.214112808181721	0.8
0.215032659538765	0.8
0.215353765924702	0.8
0.215776817757693	0.8
0.216265534700413	0.8
0.216432436886776	0.8
0.216449282558976	0.81
0.216570863093354	0.81
0.216736108144782	0.81
0.217145350399102	0.81
0.217289433943628	0.81
0.218209285300672	0.81
0.218530391686609	0.81
0.2189534435196	0.81
0.21944216046232	0.81
0.219609062648683	0.81
0.219625908320883	0.82
0.219747488855261	0.82
0.219912733906689	0.82
0.220321976161009	0.82
0.220466059705535	0.82
0.221385911062579	0.82
0.221707017448516	0.82
0.222130069281507	0.82
0.222618786224227	0.82
0.22278568841059	0.82
0.22280253408279	0.83
0.222924114617168	0.83
0.223089359668596	0.83
0.223498601922915	0.83
0.223642685467442	0.83
0.224562536824486	0.83
0.224883643210423	0.83
0.225306695043414	0.83
0.225795411986134	0.83
0.225962314172497	0.83
0.225979159844697	0.84
0.226100740379075	0.84
0.226265985430503	0.84
0.226675227684822	0.84
0.226819311229349	0.84
0.227739162586393	0.84
0.22806026897233	0.84
0.228483320805321	0.84
0.228972037748041	0.84
0.229138939934404	0.84
0.229155785606604	0.85
0.229277366140982	0.85
0.22944261119241	0.85
0.229851853446729	0.85
0.229995936991256	0.85
0.2309157883483	0.85
0.231236894734237	0.85
0.231659946567228	0.85
0.232148663509948	0.85
0.232315565696311	0.85
0.232332411368511	0.86
0.232453991902889	0.86
0.232619236954317	0.86
0.233028479208636	0.86
0.233172562753163	0.86
0.234092414110207	0.86
0.234413520496144	0.86
0.234836572329135	0.86
0.235325289271855	0.86
0.235492191458218	0.86
0.235509037130418	0.87
0.235630617664796	0.87
0.235795862716224	0.87
0.236205104970543	0.87
0.23634918851507	0.87
0.237269039872114	0.87
0.237590146258051	0.87
0.238013198091042	0.87
0.238501915033762	0.87
0.238668817220125	0.87
0.238685662892325	0.88
0.238807243426703	0.88
0.238972488478131	0.88
0.23938173073245	0.88
0.239525814276977	0.88
0.24044566563402	0.88
0.240766772019958	0.88
0.241189823852949	0.88
0.241678540795669	0.88
0.241845442982032	0.88
0.241862288654232	0.89
0.24198386918861	0.89
0.242149114240038	0.89
0.242558356494357	0.89
0.242702440038884	0.89
0.243622291395927	0.89
0.243943397781865	0.89
0.244366449614856	0.89
0.244855166557576	0.89
0.245022068743939	0.89
0.245038914416139	0.9
0.245160494950517	0.9
0.245325740001945	0.9
0.245734982256264	0.9
0.245879065800791	0.9
0.246798917157834	0.9
0.247120023543772	0.9
